Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
"3bdrm Penthouse in Brownstone Estate, Ikate for sale",150,3,3,Semi-Furnished,"Lekki, Ikate",Ikate,Lagos State,False,250000000.0
"4bdrm Duplex in Redemption Estate, Owerri for sale",400,4,5,Unfurnished,"Imo State, Owerri",Owerri,Imo State,Premium,200000000.0
6bdrm Bungalow in Ikorodu Garage for sale,5000,6,6,Unfurnished,"Ikorodu, Ikorodu Garage",Ikorodu Garage,Lagos State,False,65000000.0
4bdrm Duplex in Opebi for sale,225,4,4,Semi-Furnished,"Ikeja, Opebi",Opebi,Lagos State,Enterprise,450000000.0
"3bdrm House in Treasure Hilltop, Akesan for sale",300,3,4,Unfurnished,"Alimosho, Akesan",Akesan,Lagos State,False,85000000.0
3bdrm Duplex in Abraham Adesanya for sale,250,3,3,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,False,130000000.0
"6bdrm Duplex in Imo Housing Estate, Owerri for sale",600,6,6,Unfurnished,"Imo State, Owerri",Owerri,Imo State,Premium,170000000.0
"5bdrm Duplex in Ochacho Homes, Life Camp for sale",50,5,5,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),False,135000000.0
"4bdrm Duplex in Royal Neighbourhood, Owerri for sale",464,4,4,Unfurnished,"Imo State, Owerri",Owerri,Imo State,Premium,180000000.0
5bdrm Duplex in Atlantic Nominee for sale,300,5,6,Semi-Furnished,"Ajah, Lekki Gardens Estate",Lekki Gardens Estate,Lagos State,False,260000000.0
Furnished 4bdrm Duplex in Private Estate for sale,650,4,4,Furnished,"Ifako-Ijaiye, Alakuko",Alakuko,Lagos State,Diamond,140000000.0
4bdrm Duplex in New Gra By Federal for sale,1150,4,5,Semi-Furnished,"Osun State, Osogbo",Osogbo,Osun State,False,85000000.0
3bdrm Block of Flats in Iju Ishaga for sale,648,3,4,Unfurnished,"Agege, Iju-Ishaga",Iju-Ishaga,Lagos State,Enterprise,250000000.0
"5bdrm Duplex in Heritage Estate, Akala Express for sale",400,5,6,Unfurnished,"Ibadan, Akala Express",Akala Express,Oyo State,Vip Gold,260000000.0
"4bdrm House in Ajao Estate, Anthony Village for sale",600,4,4,Unfurnished,"Maryland, Anthony Village",Anthony Village,Lagos State,Diamond,200000000.0
4bdrm Duplex in Osapa london for sale,250,4,4,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos State,False,450000000.0
"5bdrm Bungalow in Selewu Area, Ikorodu for sale",50,5,6,Semi-Furnished,"Lagos State, Ikorodu",Ikorodu,Lagos State,False,47000000.0
"3bdrm Apartment in Golf Estates Ph, Amadi-Ama for sale",1986,3,3,Semi-Furnished,"Port-Harcourt, Amadi-Ama",Amadi-Ama,Port-Harcourt,Enterprise,120000000.0
3bdrm Apartment in Jahi for sale,300,3,3,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,200000000.0
5bdrm Duplex in Chevron Estate for sale,600,5,5,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,Vip Gold,450000000.0
3bdrm Block of Flats in Kaura for sale,200,3,3,Unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),Enterprise,170000000.0
3bdrm Apartment in Ibeshe / Ikorodu for sale,500,3,1,Unfurnished,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Lagos State,False,25000000.0
"2bdrm Block of Flats in Irewolede, Ado Ekiti for sale",600,2,2,Unfurnished,"Ekiti State, Ado Ekiti",Ado Ekiti,Ekiti State,Basic,35000000.0
2bdrm Apartment in Abraham Adesanya for sale,600,2,2,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,Diamond,85000000.0
"Mini Flat in Treasure Land Estate, Igbogbo for sale",648,1,1,Semi-Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos State,False,8500000.0
2bdrm Apartment in Abraham Adesanya for sale,600,2,2,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,Diamond,120000000.0
5bdrm Duplex in Magodo Gra Phase 2 for sale,150,5,6,Semi-Furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,Enterprise,750000000.0
"Furnished 10bdrm House in 10 Minutes Walk From, Ewekoro for sale",450,10,10,Furnished,"Ogun State, Ewekoro",Ewekoro,Ogun State,False,29000000.0
Furnished 2bdrm Duplex in Lafiaji for sale,300,2,3,Furnished,"Lekki, Lafiaji",Lafiaji,Lagos State,False,125000000.0
"3bdrm House in Oloruntedo, Egbedore for sale",400,3,3,Semi-Furnished,"Osun State, Egbedore",Egbedore,Osun State,False,25000000.0
"5bdrm Duplex in Liberty Height, Life Camp for sale",450,5,5,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),False,105000000.0
2bdrm Block of Flats in Gberigbe for sale,630,2,2,Semi-Furnished,"Ikorodu, Gberigbe",Gberigbe,Lagos State,False,60000000.0
"2bdrm Bungalow in Not An Estate, Kurudu for sale",250,2,1,Unfurnished,"Abuja (FCT), Kurudu",Kurudu,Abuja (FCT),False,5000000.0
Furnished 6bdrm Duplex in Yenagoa for Sale,3600,6,5,Furnished,"Bayelsa State, Yenagoa",Yenagoa,Bayelsa State,False,150000000.0
"5bdrm House in Odudu, Akure for sale",5000,5,5,Semi-Furnished,"Ondo State, Akure",Akure,Ondo State,False,70000000.0
"3bdrm Duplex in Fashola Estate, Ibeshe / Ikorodu for sale",5000,3,2,Semi-Furnished,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Lagos State,Enterprise,82000000.0
