title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"3bdrm Penthouse in Brownstone Estate, Ikate for sale",150,3,3,semi-furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 250,000,000"
"4bdrm Duplex in Redemption Estate, Owerri for sale",400,4,5,unfurnished,"Imo State, Owerri",Owerri,Imo State,premium,"₦ 200,000,000"
6bdrm Bungalow in Ikorodu Garage for sale,5000,6,6,unfurnished,"Ikorodu, Ikorodu Garage",Ikorodu Garage,Ikorodu,False,"₦ 65,000,000"
4bdrm Duplex in Opebi for sale,225,4,4,semi-furnished,"Ikeja, Opebi",Opebi,Ikeja,enterprise,"₦ 450,000,000"
"3bdrm House in Treasure Hilltop, Akesan for sale",300,3,4,unfurnished,"Alimosho, Akesan",Akesan,Alimosho,False,"₦ 85,000,000"
3bdrm Duplex in Abraham Adesanya for sale,250,3,3,unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,False,"₦ 130,000,000"
"6bdrm Duplex in Imo Housing Estate, Owerri for sale",600,6,6,unfurnished,"Imo State, Owerri",Owerri,Imo State,premium,"₦ 170,000,000"
"5bdrm Duplex in Ochacho Homes, Life Camp for sale",50,5,5,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,False,"₦ 135,000,000"
5bdrm Duplex in Guzape District for sale,800,5,5,unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),False,"₦ 1,800,000,000"
"4bdrm Duplex in Royal Neighbourhood, Owerri for sale",464,4,4,unfurnished,"Imo State, Owerri",Owerri,Imo State,premium,"₦ 180,000,000"
5bdrm Duplex in Atlantic Nominee for sale,300,5,6,semi-furnished,"Ajah, Lekki Gardens Estate",Lekki Gardens Estate,Ajah,False,"₦ 260,000,000"
Furnished 4bdrm Duplex in Private Estate for sale,650,4,4,furnished,"Ifako-Ijaiye, Alakuko",Alakuko,Ifako-Ijaiye,diamond,"₦ 140,000,000"
4bdrm Duplex in New Gra By Federal for sale,1150,4,5,semi-furnished,"Osun State, Osogbo",Osogbo,Osun State,False,"₦ 85,000,000"
3bdrm Block of Flats in Iju Ishaga for sale,648,3,4,unfurnished,"Agege, Iju-Ishaga",Iju-Ishaga,Agege,enterprise,"₦ 250,000,000"
"5bdrm Duplex in Heritage Estate, Akala Express for sale",400,5,6,unfurnished,"Ibadan, Akala Express",Akala Express,Ibadan,vip_gold,"₦ 260,000,000"
"4bdrm House in Ajao Estate, Anthony Village for sale",600,4,4,unfurnished,"Maryland, Anthony Village",Anthony Village,Maryland,diamond,"₦ 200,000,000"
4bdrm Duplex in Osapa london for sale,250,4,4,unfurnished,"Lekki, Osapa london",Osapa london,Lekki,False,"₦ 450,000,000"
"5bdrm Bungalow in Selewu Area, Ikorodu for sale",50,5,6,semi-furnished,"Lagos State, Ikorodu",Ikorodu,Lagos State,False,"₦ 47,000,000"
"3bdrm Apartment in Golf Estates Ph, Amadi-Ama for sale",1986,3,3,semi-furnished,"Port-Harcourt, Amadi-Ama",Amadi-Ama,Port-Harcourt,enterprise,"₦ 120,000,000"
3bdrm Apartment in Jahi for sale,300,3,3,unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 200,000,000"
5bdrm Duplex in Chevron Estate for sale,600,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,vip_gold,"₦ 450,000,000"
3bdrm Block of Flats in Kaura for sale,200,3,3,unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),enterprise,"₦ 170,000,000"
3bdrm Apartment in Ibeshe / Ikorodu for sale,500,3,1,unfurnished,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Ikorodu,False,"₦ 25,000,000"
"2bdrm Block of Flats in Irewolede, Ado Ekiti for sale",600,2,2,unfurnished,"Ekiti State, Ado Ekiti",Ado Ekiti,Ekiti State,basic,"₦ 35,000,000"
2bdrm Apartment in Abraham Adesanya for sale,600,2,2,unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,diamond,"₦ 85,000,000"
"Mini Flat in Treasure Land Estate, Igbogbo for sale",648,1,1,semi-furnished,"Ikorodu, Igbogbo",Igbogbo,Ikorodu,False,"₦ 8,500,000"
2bdrm Apartment in Abraham Adesanya for sale,600,2,2,unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,diamond,"₦ 120,000,000"
5bdrm Duplex in Magodo Gra Phase 2 for sale,150,5,6,semi-furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,enterprise,"₦ 750,000,000"
"Furnished 10bdrm House in 10 Minutes Walk From, Ewekoro for sale",450,10,10,furnished,"Ogun State, Ewekoro",Ewekoro,Ogun State,False,"₦ 29,000,000"
Furnished 2bdrm Duplex in Lafiaji for sale,300,2,3,furnished,"Lekki, Lafiaji",Lafiaji,Lekki,False,"₦ 125,000,000"
"3bdrm House in Oloruntedo, Egbedore for sale",400,3,3,semi-furnished,"Osun State, Egbedore",Egbedore,Osun State,False,"₦ 25,000,000"
"5bdrm Duplex in Liberty Height, Life Camp for sale",450,5,5,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,False,"₦ 105,000,000"
2bdrm Block of Flats in Gberigbe for sale,630,2,2,semi-furnished,"Ikorodu, Gberigbe",Gberigbe,Ikorodu,False,"₦ 60,000,000"
"2bdrm Bungalow in Not An Estate, Kurudu for sale",250,2,1,unfurnished,"Abuja (FCT), Kurudu",Kurudu,Abuja (FCT),False,"₦ 5,000,000"
Furnished 6bdrm Duplex in Yenagoa for Sale,3600,6,5,furnished,"Bayelsa State, Yenagoa",Yenagoa,Bayelsa State,False,"₦ 150,000,000"
"5bdrm House in Odudu, Akure for sale",5000,5,5,semi-furnished,"Ondo State, Akure",Akure,Ondo State,False,"₦ 70,000,000"
"3bdrm Duplex in Fashola Estate, Ibeshe / Ikorodu for sale",5000,3,2,semi-furnished,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Ikorodu,enterprise,"₦ 82,000,000"
"4bdrm Duplex in Ocean Bay, Lekki Phase 2 for sale",150,4,4,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 140,000,000"
3bdrm Apartment in Ogba for sale,150,3,2,semi-furnished,"Lagos State, Ogba",Ogba,Lagos State,enterprise,"₦ 80,000,000"
4bdrm Apartment in Kado for sale,100,4,5,unfurnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),basic,"₦ 500,000,000"
"5bdrm Duplex in Amazing Grace New, Ifako-Ijaiye for sale",250,5,5,semi-furnished,"Lagos State, Ifako-Ijaiye",Ifako-Ijaiye,Lagos State,enterprise,"₦ 300,000,000"
Furnished 3bdrm Apartment in Lekki Phase 1 for sale,400,3,3,furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,premium,"₦ 300,000,000"
3bdrm Block of Flats in New Oko Oba Ifako for sale,1000,3,3,unfurnished,"Agege, New Oko Oba",New Oko Oba,Agege,enterprise,"₦ 180,000,000"
4bdrm Apartment in Kado for sale,100,4,5,unfurnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),basic,"₦ 500,000,000"
4bdrm Duplex in Alafia Estate Ogba for sale,330,4,3,semi-furnished,"Lagos State, Ogba",Ogba,Lagos State,enterprise,"₦ 170,000,000"
4bdrm Duplex in New Oko Oba for sale,300,4,4,semi-furnished,"Agege, New Oko Oba",New Oko Oba,Agege,enterprise,"₦ 260,000,000"
3bdrm Duplex in Gaduwa for sale,300,3,3,unfurnished,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),enterprise,"₦ 150,000,000"
"3bdrm Block of Flats in 3Bedroom, Allen Avenue for sale",150,3,3,semi-furnished,"Ikeja, Allen Avenue",Allen Avenue,Ikeja,enterprise,"₦ 100,000,000"
5bdrm Duplex in Omole Phase 1 for sale,300,5,4,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,enterprise,"₦ 550,000,000"
4bdrm Duplex in Mabushi for sale,400,4,4,unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),False,"₦ 450,000,000"
3bdrm Block of Flats in Periwinkle Estate for sale,750,3,2,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 1,500,000,000"
5bdrm Duplex in Magodo Gra Phase 1 for sale,350,5,4,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,enterprise,"₦ 650,000,000"
4bdrm Duplex in Ikeja Gra for sale,200,4,4,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 600,000,000"
3bdrm Apartment in Ikeja Gra for sale,200,3,3,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 450,000,000"
3bdrm Block of Flats in New Oko Oba Abule for sale,620,3,3,semi-furnished,"Agege, New Oko Oba",New Oko Oba,Agege,enterprise,"₦ 170,000,000"
4bdrm Duplex in Ifako Ijaiye Ogba for sale,200,4,4,semi-furnished,"Agege, Ifako",Ifako,Agege,enterprise,"₦ 255,000,000"
2bdrm Bungalow in New Oko Oba for sale,500,2,2,semi-furnished,"Agege, New Oko Oba",New Oko Oba,Agege,enterprise,"₦ 90,000,000"
4bdrm Duplex in Jabi for sale,300,4,4,unfurnished,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),enterprise,"₦ 500,000,000"
Furnished 3bdrm Block of Flats in Ago Okota for sale,670,3,4,furnished,"Isolo, Okota",Okota,Isolo,vip,"₦ 370,000,000"
4bdrm Duplex in Fagba Ifako Ijaiye for sale,300,4,3,semi-furnished,"Agege, Fagba",Fagba,Agege,enterprise,"₦ 250,000,000"
5bdrm Duplex in Ikeja Gra for sale,500,5,5,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 1,000,000,000"
2bdrm Block of Flats in Omole Phase 1 for sale,550,2,2,semi-furnished,"Ikeja, Agidingbi",Agidingbi,Ikeja,enterprise,"₦ 580,000,000"
3bdrm Apartment in Lsdp Estate Agege for sale,150,3,2,semi-furnished,"Lagos State, Agege",Agege,Lagos State,enterprise,"₦ 75,000,000"
4bdrm Duplex in Ikeja Gra for sale,230,4,4,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 750,000,000"
3bdrm Block of Flats in Ojodu Berger for sale,620,3,2,semi-furnished,"Lagos State, Ojodu",Ojodu,Lagos State,enterprise,"₦ 260,000,000"
2bdrm Block of Flats in Igando for sale,600,2,2,semi-furnished,"Ikotun/Igando, Igando / Ikotun/Igando",Igando / Ikotun/Igando,Ikotun/Igando,enterprise,"₦ 160,000,000"
